termino,equivalencia,polaridad,categoria,ejemplo_1,ejemplo_2,ejemplo_3,notas
bacán,"excelente, genial, increíble",POSITIVE,valoración general,"Ese concierto estuvo bacán, la pasé genial.",Qué bacán que te hayan dado el trabajo.,"Tu amigo es bien bacán, siempre te apoya.",Muy frecuente en habla juvenil limeña. Intensificado: 'bacanazo'.
chévere,"bueno, agradable, cool",POSITIVE,valoración general,"El restaurante está chévere, la comida rica.",Qué chévere que hayas venido.,"Es un chico chévere, no te va a fallar.",Compartido con Venezuela y Colombia. Muy natural en Perú.
mostro,"excelente, muy hábil, impresionante",POSITIVE,habilidad/desempeño,Eres un mostro para la programación.,"Ese jugador es un mostro, mete gol siempre.","Quedó mostro el proyecto, felicitaciones.",Forma coloquial de 'monstruo'. Muy usado en Lima.
fiera,persona muy hábil o destacada,POSITIVE,habilidad/desempeño,Es una fiera en matemáticas.,Esa empresa es una fiera en el mercado.,"Mi profe de cálculo es una fiera, todo explica clarito.",Puede usarse para personas o entidades. Siempre positivo.
piola,"tranquilo, discreto, sin problemas, confiable",POSITIVE,actitud/comportamiento,"El evento estuvo piola, sin dramas.","Es un pata piola, no molesta a nadie.","Todo piola por acá, no te preocupes.",Puede ser NEUTRAL en contextos descriptivos. Muy versátil.
de pelos,"muy bien, excelente, perfecto",POSITIVE,valoración general,Me cayó de pelos ese favor que me hiciste.,La reunión salió de pelos.,"El diseño quedó de pelos, bien profesional.",Expresión muy peruana. Sinónimo coloquial de 'de lujo'.
cachaciento,"gracioso, chistoso, con buen humor",POSITIVE,personalidad,"Ese pata es bien cachaciento, siempre te saca una risa.","La reunión estuvo cachaciento, nadie se aburrió.","Me cae bien, es cachaciento sin ser pesado.",Exclusivamente peruano. No confundir con burlón.
arriba,"de primer nivel, excelente calidad",POSITIVE,valoración general,"Ese profesor es arriba, explica clarito.","El servicio estuvo arriba, sin quejas.",La atención en ese hotel es arriba.,"Menos frecuente, uso más adulto. Indica calidad superior."
causa,"amigo, pata, compañero",POSITIVE,relaciones sociales,Mi causa siempre está cuando lo necesito.,"Qué causa eres, gracias por ayudarme.","Ese es mi causa del colegio, lo conozco de años.",Término de afecto. Indica cercanía. El contexto define la polaridad.
pata,"amigo, colega, persona",POSITIVE,relaciones sociales,Mi pata me prestó su laptop para el examen.,"Es un buen pata, siempre te da la mano.",¿Quién es ese pata? No lo conozco.,Muy neutro si solo identifica a alguien. Positivo cuando hay afecto implícito.
pulento,"excelente, de buena calidad, impecable",POSITIVE,valoración general,"El show estuvo pulento, todos quedaron contentos.","Ese ceviche está pulento, mejor que en el centro.","Tu presentación quedó pulenta, bien hecha.",Usado más en generaciones jóvenes. Intensificado: 'pulentucho'.
alzado,"que subió de nivel, que mejoró su posición",POSITIVE,logro/éxito,Ya estás alzado con ese cargo nuevo.,Desde que le fue bien en el negocio está alzado.,"Mi hermano ya está alzado, tiene su casa propia.",POSITIVO en contexto de logro. NEGATIVO si implica soberbia ('se ha alzado').
palta,"vergüenza, incomodidad, pena ajena",NEGATIVE,emoción negativa,Me dio palta verlo tropezar frente a todos.,Qué palta que hayas llegado tarde a tu propia reunión.,"Eso me da palta, no lo hagas en público.",Exclusivamente peruano. Puede ser leve (vergüenza ajena) o intensa.
roche,"vergüenza, situación incómoda, bochorno",NEGATIVE,emoción negativa,Qué roche que te hayan visto así.,Me dio un roche enorme cuando me llamaron la atención.,"Eso fue un roche total, todos se quedaron mirando.",Muy similar a 'palta'. 'Roche' tiende a ser más social/público.
maleado,"en mal estado, descompuesto, de mala calidad",NEGATIVE,calidad/estado,"El producto llegó maleado, no sirve.","Ese local está maleado, no vayas.","La comida estaba maleada, me cayó mal.","Se aplica a objetos, lugares y personas. Para personas: mal educado, corrompido."
